question,correct,answerA,answerB,answerC,answerD
REBEL MUSIC MIX- At a 2019 Kennedy Center Honors event the then Secretary of State Mike Pompeo was called out by this 70's era soft-rock singer and honoree for being an enabler to President Trump. ,Linda Ronstadt,Linda Ronstadt,Debbie Boone,Joan Biaz,Olivia Newton- John
"REBEL MUSIC MIX- In 2001 this norteño band from San José, California sang ""Let me remind the gringo, that I didn't cross the border, the border crossed me."" ",Los Tigres del Norte,Los Tigres del Norte,Los Tucanes de Tijuana,Intocable,"Vicente ""Chente"" Fernández "
"REBEL MUSIC MIX- In 1985 what British weekly music magazine voted the landmark political album ""What's Going On"" by Marvin Gaye the best album of all time? ",NME,NME,The Globe,Melody Maker,Melody Maker
"REBEL MUSIC MIX- Who is considered the first author of the 1901 civil rights anthem ""We Shall Overcome""? ",Claude McKay,Claude McKay,Charles Tindley,Countee Cullen,James Weldon Johnson
"REBEL MUSIC MIX- This folk punk artist, and champion of feminist causes, began her music career by starting her own record label- Righteous Babe Records. Who is the Artist? ",Ani DiFranco,Ani DiFranco,Lucinda Williams,Tori Amos,Laura Jane Grace
"REBEL MUSIC MIX- What year did the Temptations song about the sad state of the world ""Ball of Confusion"" come out?",1970,1970,1943,1990,1964
"REBEL MUSIC MIX- The synth- rock band Depeche Mode released this atheist friendly hit in 1984 that mocked ""God's sick sense of humor."" ","""Blasphemous Rumors""","""Blasphemous Rumors""","""Master and Servant""","""Flies on the Windscreen""","""Personal Jesus"""
"REBEL MUSIC MIX- The 1986 album Lives in the Balance, a record full of songs critical of U.S. imperialism and militarism, is perhaps the most political album by this U.S. rock musician and singer.",Jackson Brown,Jackson Brown,James Taylor,Don Henley,Tom Petty
"REBEL MUSIC MIX- This female R&B artist from Texas was arrested in 2010, and charged with disorderly conduct for appearing nude in Dealey Plaza in Dallas for a video shoot.",Erykah Badu,Erykah Badu,Jill Scott,Mary J Blige,Lauryn Hill
"REBEL MUSIC MIX- This artist recorded the song ""Freedom is Free"" in 2017 to counter the notion that war and death are necessary costs for freedom. ",Chicano Batman,Chicano Batman,Ozomatli,Bardo Martinez,Styx
"REBEL MUSIC MIX- Nina Hagen's 1983 hit ""99 Red Balloons"" was about what? ",Cold war paranoia,Cold war paranoia,Fascist paranoia,White supremacist paranoia,War on terror paranoia
"REBEL MUSIC MIX- How did the radical, folk musician Phil Ochs die? ",Suicide,Suicide,Murder,AIDS,Cancer
REBEL MUSIC MIX- The country singer Tim McGraw described himself as what type of Democrat in 2008? ,Blue Dog,Blue Dog,Southern,Conservative,Progressive
REBEL MUSIC MIX- Donna Summer and  Barbara Streisand teamed up to record this women's rights song in 1979. ,"""No More Tears (Enough is Enough)""","""No More Tears (Enough is Enough)""","""(I'm a) Stand Up Women""","""I Am a Women""","""I Will Survive LA"""
REBEL MUSIC MIX- This folk rock duo performed a concert in the spring in 2016 to protest the United Methodist Church's ban on  permitting same-sex couples to marry. ,Indigo Girls,Indigo Girls,Ann and Nancy Wilson,Shakespeare's Sister,Ann and Nancy Wilson
"REBEL MUSIC MIX- This famous 1970's pop and blues singer said in 2018;  ""There's climate in the Republican Party of complicity with the leader of the country, who is inspiring people to violence.""",Carol King,Carol King,Debbie Boone,Anne Murray,Carly Simon
"REBEL MUSIC MIX- This best selling singer, popular in the 1970's and early 80's, was a big supporter of Bill Clinton in his 1992 bid for the White House and became a close family friend.  ",Barbara Streisand,Barbara Streisand,Bette Midler,Cher,Liza Minelli
REBEL MUSIC MIX- Avant Grade singer Diamanda Galás was a member of what direct action organization in the 1980's?,ACT UP,ACT UP,The National Organization of Women,Queer Nation,Human Rights Campaign
REBEL MUSIC MIX- Who started Band Aid?,Bob Geldof and Midge Ure,Bob Geldof and Midge Ure,Boy George and Midge Ure,Bono and Jim Kerr,Bob Geldof and Bono
"REBEL MUSIC MIX- Which black female singing group recorded the song ""Independent Women (Part 1)""? ",Destiny's Child,Destiny's Child,TLC,Salt -n- Pepa,En Vouge
REBEL MUSIC MIX- What's the name of radical folk singer Billy Bragg's first album? ,Life's Riot With Spy vs Spy,Life's Riot With Spy vs Spy,Don't Try This at Home,"England, Half English",Worker's Playtime
"REBEL MUSIC MIX- This androgynous hip-hop, and psychedelic soul artist has been considered a lead innovator in the afro-futurist movement. ",Janelle Monae,Janelle Monae,Grace Jones,Cynthia Erivo,Tessa Thompson
