question,correct,answerA,answerB,answerC,answerD
REBEL RAPPERS- The song Police State by the political hip-hop group Dead Prez appeared on what landmark 2000 album? ,Lets Get Free,Lets Get Free,RBG: Revolutionary but Gangsta,Information Age,Wake Up!
"REBEL RAPPERS- The New Jersey based ""Juice Crew"" rapper Queen Latifah dropped this powerful song in 1993 pushing back against all of the disrespect aimed at women and girls in Hip-Hop. ","""U.N.I.T.Y.""","""U.N.I.T.Y.""","""Black Infinity""","""You're a Black Women""","""Who You Calling a Bitch?"""
REBEL RAPPERS-  Eminem performed a scathing  freestyle rap attack against this politician and any of his fans who support him in October 2017. Who was the politician? ,Donald Trump,Donald Trump,Hillary Clinton,Joe Biden,Barack Obama
"REBEL RAPPERS- Killer Mike, political rapper and hip-hop activist based in Atlanta, Georgia endorsed which presidential candidate in 2016? ",Bernie Sanders,Bernie Sanders,Michelle Obama,Joe Biden,Jill Stein
"REBEL RAPPERS- This seminal hip- hop group was responsible for popularizing socially conscious hip-hop in the early 1980's with classics like ""the Message"" and ""New York, New York.""",Grand Master Flash & the Furious 5,Grand Master Flash & the Furious 5,The Treacherous Three,Run DMC,The Sugar Hill Gang
"REBEL RAPPERS- J. Cole's ""High for Hours,"" released in early 2017, mentioned a meeting with which president? ",Barack Obama,Barack Obama,Donald Trump,George W Bush,Bill Clinton
"REBEL RAPPERS- This Oakland area based, radical hip-hop artist implored black people to ""Break the Grip of Shame"" in a 1990 hip-hip song. Who was the artist?",Paris,Paris,Mac Dre,E-40,Too Short
"REBEL RAPPERS- This white, Seattle based, hip-hop artist wrote and performed the song ""Same Love"", which condemns homophobia in hip-hop.",Macklemore,Macklemore,Onry Ozzborn,LL Cool J,MC Search
REBEL RAPPERS- This neo hip-hop song off the Digable Planets 1993 debut album Reachin' (A New Refutation of Time and Space) stands up for reproductive freedom for women.   ,"""La Femme Fetal""","""La Femme Fetal""","""Where I'm From""","""Rebirth of Slick (Cool Like Dat)""","""Nickel Bags"""
REBEL RAPPERS- The UK rapper Slowthai released this album in 2019 with songs critical of Brexit and Theresa May. ,Nothing Great About Britain,Nothing Great About Britain,This Ain't England,I Wish I Knew,God Made the Queen
"REBEL RAPPERS- Which list of artists were all part of the political rap-rock ""super group"" Prophets of Rage? ","Jim Commerford, Tom Morello, Brad Wilk, DJ Lord, Chuck D, and B-Real","Jim Commerford, Tom Morello, Brad Wilk, DJ Lord, Chuck D, and B-Real","Brad Wilk, DJ Lord, Chuck D, B-Real and Snoop Dogg","Tom Morello, Brad Wilk, DJ Lord, Chuck D, B-Real and Ice Cube","Tim Commerford, Tom Morello, Brad Wilk, and Flea"
"REBEL RAPPERS- This rapper was visited by the Secret Service in 2018 in response to alleged threatening lyrics towards Donald Trump in his song  ""The Ringer."" ",Eminem,Eminem,Snoop Dogg,Tim Dog,Ice Cube
REBEL RAPPERS- The hip hop artist Ice Cube pulled together and produced this LA based black nationalist rap group named after his record label.,Da Lynch Mob,Da Lynch Mob,WC and the Maad Circle,EPMD,Westside Connection
"REBEL RAPPERS- The angry screed ""Black Cop"" by KRS-One appeared on what album? ",Return of the Boom Bap,Return of the Boom Bap,By All Means Necessary,Criminal Minded,I Got Next
"REBEL RAPPERS- The East Bay radical political hip- hop artist Paris invited this New York based rapper on an extended mix track of the song ""Field Nigga Boogie"" off his 2003 album Sonic Jihad. ",Immortal Technique,Immortal Technique,Slick Rick,LL Cool J,Master P
REBEL RAPPERS- The American rapper and political activist Talib Kweli teamed up with Mos Def in 1997 to form this influential hip-hop group. ,Black Star,Black Star,Wu-Tang Clan,Black Sheep,Onyx
"REBEL RAPPERS- In the 1993 Cypress Hill song ""I Want to Get High"" which politician did the group encourage to ""go and inhale?"" ",Bill Clinton,Bill Clinton,John Edwards,Gary Hart,Al Gore
REBEL RAPPERS- LA based hip-hop artist and community activist Nipsey Hussle was murdered in March 2019. How old was he? ,33,33,27,53,19
REBEL RAPPERS- The Root's 4th studio album Things Fall Apart took its name from a 1958 book from which political Nigerian writer? ,Chinua Achebe,Chinua Achebe,Kwame Nkrumah,Wole Soyinka,Franz Fanon
"REBEL RAPPERS- Afrika Bambaataa, widely considered the creator of electro- funk and an influential hip- hop innovator, founded what South Bronx based hip- hop organization in 1973",The Universal Zulu Nation,The Universal Zulu Nation,Boogie Down Productions,Hip Hop Congress,Hip Hop for Change
REBEL RAPPERS- Jay- Z has funded a number of social causes including this group dedicated to criminal justice reform. What's the name of the organization? ,Reform Alliance,Reform Alliance,Prison Abolition Committee,Criminal Justice Task Force,End Mass Incarceration Now!
REBEL RAPPERS- This Dr. Dre protégé came out in support of Colin Kaepernick and his symbolic protest against police brutality at the BET Hip-Hop Awards in 2017.       ,Eminem,Eminem,Snoop Dogg,Easy E,DJ Yella
REBEL RAPPERS- MMG was a Revolutionary Communist Party affiliated hip-hop collective from New York that recorded this pro-U.S. flag burning song back in 1990. ,"""Burn Baby Burn""","""Burn Baby Burn""","""50 State Fire""","""Old Glory in Flames""","""Burn the Flag"""
REBEL RAPPERS- Which Vice President went on TV to attack Tupac Shakar's first album 2pacalypse Now in 1991 blaming it for a police officer's death in Texas. ,Dan Quayle,Dan Quayle,Nelson Rockefeller,Dick Cheney,Al Gore
"REBEL RAPPERS- On March 18 2016, 13 swat team members with the Fayetteville police department raided this rappers recording studio in North Carolina. Who was it? ",J. Cole,J. Cole,21 Savage,Drake,Kendrick Lamar
"REBEL RAPPERS- Which Black nationalist poetry group appeared on the A Tribe Called Quest song  ""Excursions"" off their 1991 masterpiece The Low End Theory? ",The Last Poets,The Last Poets,The Black Kings,The Black Notes,The Last Negros
REBEL RAPPERS- What was the name of the anti-violence song that the West Coast Rap All-Stars dropped in 1990? ,"""We're All in the Same Gang""","""We're All in the Same Gang""","""No Justice, Just Us""","""They Just See Black""","""Stop Killing Your Brothers"""
"REBEL RAPPERS- In 2017 this Muslim rapper from Flint, Michigan released a song defending women who choose to wear Hijabs called ""Hijabi (Wrap my Hijab)."" What's her name?",Mona Hayder,Mona Hayder,Mayam Mahmoud,Shadia Mansour,Felukah
"REBEL RAPPERS- Bronx based, female rapper Cardi B endorsed this candidate for president in 2020. ",Bernie Sanders,Bernie Sanders,Elizabeth Warren,Andrew Yang,Kamala Harris
REBEL RAPPERS- What's the name of the Philadelphia based alternative hip-hop group The Goats second album?,"No Goats, No Glory","No Goats, No Glory",Tricks of the Shade,Typical American,Rumblefish
"REBEL RAPPERS- The song ""Self Destruction,"" a late '80's rap song that spoke out against black on black violence, was created by the Stop the Violence Movement. Who started it? ",KRS-One,KRS-One,George Clinton,Chuck D,Afrika Bambaataa
"REBEL RAPPERS- This member of the groundbreaking New York hip-hop group the Fugees decided to return to their birthplace, Haiti, in 2010 and run for president. ",Wyclef Jean,Wyclef Jean,Pras Michel,Lauryn Hill,Chris Schwartz
REBEL RAPPERS- Jay-Z called out Al Sharpton in this hip-hop track for scapegoating rap music for promoting negative stereotypes of urban blacks.,"""Say Hello""","""Say Hello""","""99 Problems""","""Drop it Like its Hot""","""Frontin'"""
"REBEL RAPPERS- The late Lumumba Carson, better known as Professor X the Overseer, was a black nationalist, Brooklyn based rapper with what group in the late 1980's and early 90's?",X-Clan,X-Clan,Poor Righteous Teachers,Brand Nubian,The Last Poets
REBEL RAPPERS- Hip-Hop artist Jay-Z endorsed this political leader for president in 2008. ,Barack Obama,Barack Obama,John Edwards,Alan Keyes,Hillary Clinton
"REBEL RAPPERS- Ice Cube's second album, an incendiary black nationalist, hip-hop classic,  debuted at number one on the Billboard charts. What was it?",Death Certificate,Death Certificate,War and Peace Volume 1,The Predator,Amerikkka's Most Wanted
"REBEL RAPPERS- The famous film maker Spike Lee partnered with this political hip-hip group in the late 1980's to produce the main song- ""Fight the Power""- in the sound track to his movie Do the Right Thing. ",Public Enemy,Public Enemy,Run-DMC,Paris,X-Clan
"REBEL RAPPERS- The southern rap artist Lil Wayne wrote the song ""Georgia Bush"" in 2007 in response to what event?",Hurricane Katrina,Hurricane Katrina,The mass shooting at Fort Hood,The surge of combat troops in Iraq,The Georgia Tech mass shooting
