question,correct,answerA,answerB,answerC,answerD,round
RAD ROUND- This U.S. president once told radio broadcasters that rock lyrics should be screened for content and that any music containing drug references should be banned. ,Richard Nixon,Richard Nixon,Donald Trump,Ronald Reagan,George W Bush,radRound
"REBELLION ROUND- ""House Burning Down"", a 1970 song critical of rioters who burn down their own neighborhoods to protest racial injustice, was written and performed by who? ",Jimi Hendricks,Jimi Hendricks,Carlos Santana,Eric Clapton,Sly Stone,rebelRound
RESISTANCE ROUND- This member of Rage Against the Machine was arrested with Union of Garment Worker organizers in 1997 for civil disobedience in Santa Monica protesting the use of sweatshop labor by the clothing company Guess. ,Tom Morello,Tom Morello,Zack de la Rocha,Tim Commerford,Brad Wilk,resRound
REVOLUTION ROUND- This founder of the afro-beat genre was arrested about 200 times by the Nigerian police and military forces due to his political activism and his socially conscious music.,Fela Kuti,Fela Kuti,King Sunny Adé,Sun Ra,Femi Kuti,revRound
,,,,,,
RAD ROUND- Why did Jessie Jackson call for a radio station ban on disco music in 1977?,Because it promotes promiscuity and drug use.,Because it promotes promiscuity and drug use.,"Because it exploits, and demeans women and girls",Because Black musicians were getting discriminated against with pay.,Because it promoted negative stereotypes of Blacks and gays,radRound
REBELLION ROUND- In 1971 the popular funk band Sly and the Family Stone released their 5th studio album. What was the title of the record?,There's a Riot Goin On,There's a Riot Goin On,Stand,Fresh ,Life,rebelRound
"RESISTANCE ROUND- In what country did a group of teenagers receive 91 lashes and 6 months in jail in 2014 for making a video of themselves dancing to the Pharrell William's song ""Happy""?",Iran,Iran,Saudi Arabia,China,Singapore ,resRound
"REVOLUTION ROUND- This radical 1960's musician from Chile once said ""The authentic revolutionary should be behind a guitar, so the guitar becomes an instrument of struggle, so  it... shoot[s] like a gun."" ",Victor Jara,Victor Jara,Silvio Rodríguez,Atahualpa Yupanqui,Eduardo Carrasco,revRound
,,,,,,
"RAD ROUND- This 1950's DJ refused to play white cover versions of black songs, in  protest of racial segregation in broadcast radio. ",Alan Freed,Alan Freed,Howard Stern,Dick Clark,Wolfman Jack,radRound
"REBELLION ROUND- The David Bowie record ""Rebel Rebel,"" a 1974 song about a cross dressing youth who wears tacky women's cloths, appears on what album? ",Diamond Dogs,Diamond Dogs,Aladdin Sane,Young Americans,Station to Station,rebelRound
RESISTANCE ROUND- This radical folk singer refused to cooperate with the House of Unamerican Activities Committee in their witch-hunt against communists in 1955 and was sentenced to a year in jail.,Pete Seeger,Pete Seeger,Utah Phillips,Lead Belly,Mary Travers,resRound
